ProductID	ProductType	ProductGroup	ProductName	ProductName2	PriceBand	PriceGroup	VATRate	Measure	CostPricePerSKU	GrossSellPrice	BarCode	PLU	PLU2	SKUName	BINNumber	KPText	CommissionPercentage	AllowZeroPrice	UseStandardVAT	AwardCRMPoints	ChargePerMinute	ExcludeFromReceipt	PromptForDescription	SellByWeight	ServiceChargeExempt	PrintToKPStandalone	IsMain	ProductInfo	RezlynxCode	MeasureCostPricePerSKU	ProhibitSalesWhenUnderStocked	IsUseBatchSales	CookTimeSeconds	ShelfLifeSeconds	IsDisplayAfterProduced	IsBatchSalesProduceOnSale	AlcoholPercent	UnitVolume	AllowDiscount	ItemCookCount	SelfServiceFood	SelfServiceDrink	IsChooseLater	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	KP16	HideMeasureShortNameFromReceipt	ThirdPartyCRMPointsValue	ExtraReceiptText	CRMPointsValue	IsAvailableThroughTevalisAPI	IsAlcohol	CRMCode	ReportCategory	Region	Vintage	StockWarningLevel
1660	Beverage	Non Alcoholic	Ginger Ale		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1660	Beverage	Non Alcoholic	Ginger Ale		Master Price Band	Standard	GST	Pint		5.70																				-1																																								
1664	Beverage	Non Alcoholic	Ginger Beer (330ml)		Master Price Band	Standard	GST	Each	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1661	Beverage	Non Alcoholic	Indian Tonic Water		Master Price Band	Standard	GST	Glass	0	4.60					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1661	Beverage	Non Alcoholic	Indian Tonic Water		Master Price Band	Standard	GST	Jug		8.20																				-1																																								
1661	Beverage	Non Alcoholic	Indian Tonic Water		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1661	Beverage	Non Alcoholic	Indian Tonic Water		Master Price Band	Standard	GST	Pint		5.70																				-1																																								
1658	Beverage	Non Alcoholic	L&P		Master Price Band	Standard	GST	Glass	0	4.60					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1658	Beverage	Non Alcoholic	L&P		Master Price Band	Standard	GST	Jug		8.20																				-1																																								
1658	Beverage	Non Alcoholic	L&P		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1658	Beverage	Non Alcoholic	L&P		Master Price Band	Standard	GST	Pint		5.70																				-1																																								
1662	Beverage	Non Alcoholic	Lemon, Lime & Bitters		Master Price Band	Standard	GST	Glass	0	5.10					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1662	Beverage	Non Alcoholic	Lemon, Lime & Bitters		Master Price Band	Standard	GST	Jug		10.20																				-1																																								
1662	Beverage	Non Alcoholic	Lemon, Lime & Bitters		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1662	Beverage	Non Alcoholic	Lemon, Lime & Bitters		Master Price Band	Standard	GST	Pint		6.20																				-1																																								
1659	Beverage	Non Alcoholic	Lemonade		Master Price Band	Standard	GST	Glass	0	4.60					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1659	Beverage	Non Alcoholic	Lemonade		Master Price Band	Standard	GST	Jug		8.20																				-1																																								
1659	Beverage	Non Alcoholic	Lemonade		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1659	Beverage	Non Alcoholic	Lemonade		Master Price Band	Standard	GST	Pint		5.70																				-1																																								
1653	Beverage	Non Alcoholic	Orange Juice		Master Price Band	Standard	GST	Glass	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1653	Beverage	Non Alcoholic	Orange Juice		Master Price Band	Standard	GST	Jug		10.20																				-1																																								
1653	Beverage	Non Alcoholic	Orange Juice		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1653	Beverage	Non Alcoholic	Orange Juice		Master Price Band	Standard	GST	Pint		6.20																				-1																																								
1654	Beverage	Non Alcoholic	Pineapple Juice		Master Price Band	Standard	GST	Glass	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1654	Beverage	Non Alcoholic	Pineapple Juice		Master Price Band	Standard	GST	Jug		10.20																				-1																																								
1654	Beverage	Non Alcoholic	Pineapple Juice		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1654	Beverage	Non Alcoholic	Pineapple Juice		Master Price Band	Standard	GST	Pint		6.20																				-1																																								
2044	Beverage	Non Alcoholic	Rasp 		Master Price Band	Standard	GST	No Measure	0	0.00					0		0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	TRUE	FALSE		Not Set			0
2045	Beverage	Non Alcoholic	Rasp Cordial 		Master Price Band	Standard	GST	Each	0	0.00					0		0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1663	Beverage	Non Alcoholic	Redbull Can (200ml)		Master Price Band	Standard	GST	Each	0	6.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
2262	Beverage	Non Alcoholic	Soda Water		Master Price Band	Standard	GST	Glass	0	-1.00					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
2262	Beverage	Non Alcoholic	Soda Water		Master Price Band	Standard	GST	Kids		-1.00																				-1																																								
2262	Beverage	Non Alcoholic	Soda Water		Master Price Band	Standard	GST	Pint		-1.00																				-1																																								
2264	Beverage	Non Alcoholic	Sprite Zero		Master Price Band	Standard	GST	Each	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1655	Beverage	Non Alcoholic	Tomato Juice		Master Price Band	Standard	GST	Glass	0	5.70					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
1655	Beverage	Non Alcoholic	Tomato Juice		Master Price Band	Standard	GST	Jug		10.20																				-1																																								
1655	Beverage	Non Alcoholic	Tomato Juice		Master Price Band	Standard	GST	Kids		4.00																				-1																																								
1655	Beverage	Non Alcoholic	Tomato Juice		Master Price Band	Standard	GST	Pint		6.20																				-1																																								
1666	Beverage	Non Alcoholic	Voyager Water Sparkling		Master Price Band	Standard	GST	Each	0	10.50					0		0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE			-1	TRUE	FALSE	0	0	FALSE	FALSE	0	0	TRUE	1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0		1	FALSE	FALSE		Not Set			1
